run_number, wavelength, experiment_identifier, start_time, end_time, duration, temperature, regulation_temperature, detsum, detrate, monsum, monrate, elasticpeak, SRot, 
123400,5,MBP+H2O 297K,22-Jun-15 12:12:21,22-Jun-15 12:42:41,1800.01,296.421,296.999,1.22701E+07,6816.7,1.43123E+06,795.122,295,-1443, 
123401,5,MBP+H2O 297K,22-Jun-15 12:42:45,22-Jun-15 13:13:05,1800.01,296.155,296.998,1.22666E+07,6814.74,1.43116E+06,795.083,295,-1443, 
123402,5,MBP+H2O cooling to 150 K,22-Jun-15 13:13:09,22-Jun-15 13:23:30,600.012,287.788,242.367,4.0668E+06,6777.86,478003,796.655,295,-1443, 
123403,5,MBP+H2O cooling to 150 K,22-Jun-15 13:23:32,22-Jun-15 13:33:52,600.012,270.38,220.933,4.03079E+06,6717.84,478211,797.002,295,-1443, 
123404,5,MBP+H2O cooling to 150 K,22-Jun-15 13:33:55,22-Jun-15 13:44:15,600.012,250.362,198.931,4.02418E+06,6706.82,477546,795.894,295,-1443, 
123405,5,MBP+H2O cooling to 150 K,22-Jun-15 13:44:18,22-Jun-15 13:54:38,600.012,229.96,179.435,4.0055E+06,6675.7,477752,796.237,295,-1443, 
123406,5,MBP+H2O cooling to 150 K,22-Jun-15 13:54:41,22-Jun-15 14:05:01,600.012,209.91,162.057,3.96168E+06,6602.66,479482,799.121,295,-1443, 
123407,5,MBP+H2O cooling to 150 K,22-Jun-15 14:05:03,22-Jun-15 14:15:24,600.012,190.925,146.264,3.92853E+06,6547.41,479558,799.247,295,-1443, 
123408,5,MBP+H2O cooling to 150 K,22-Jun-15 14:15:26,22-Jun-15 14:25:46,600.012,173.276,131.821,3.90616E+06,6510.14,477304,795.491,295,-1443, 
123409,5,MBP+H2O cooling to 150 K,22-Jun-15 14:25:49,22-Jun-15 14:36:09,600.012,159.209,141.685,3.89056E+06,6484.13,476898,794.814,295,-1443, 
123410,5,MBP+H2O cooling to 150 K,22-Jun-15 14:36:11,22-Jun-15 14:46:32,600.012,152.061,147.19,3.87881E+06,6464.55,474891,791.469,295,-1443, 
123411,5,MBP+H2O cooling to 150 K,22-Jun-15 14:46:34,22-Jun-15 14:56:54,600.012,149.847,150.002,3.86419E+06,6440.19,478892,798.137,295,-1443, 
123412,5,MBP+H2O cooling to 150 K,22-Jun-15 14:56:57,22-Jun-15 15:07:17,600.012,149.443,150,3.85989E+06,6433.01,479527,799.196,295,-1443, 
123413,5,MBP+H2O cooling to 150 K,22-Jun-15 15:07:19,22-Jun-15 15:17:40,600.012,149.521,149.999,3.86682E+06,6444.57,478856,798.077,295,-1443, 
123414,5,MBP+H2O cooling to 150 K,22-Jun-15 15:17:42,22-Jun-15 15:28:02,600.012,149.675,150.001,3.87025E+06,6450.29,479494,799.141,295,-1443, 
123415,5,MBP+H2O cooling to 150 K,22-Jun-15 15:28:05,22-Jun-15 15:38:25,600.012,149.804,149.998,3.86775E+06,6446.12,479003,798.323,295,-1443, 
123416,5,MBP+H2O cooling to 150 K,22-Jun-15 15:38:27,22-Jun-15 15:41:30,162.026,149.835,149.998,1.04337E+06,6439.54,128667,794.116,295,-1443, 
123417,5,MBP+H2O 150 K,22-Jun-15 15:41:38,22-Jun-15 16:11:58,1800.01,149.99,149.998,1.16068E+07,6448.17,1.43488E+06,797.152,295,-1443, 
123418,5,MBP+H2O 150 K,22-Jun-15 16:12:01,22-Jun-15 16:42:21,1800.01,150.033,150.004,1.16177E+07,6454.26,1.43703E+06,798.347,295,-1443, 
123419,5,MBP+H2O 150 K,22-Jun-15 16:42:24,22-Jun-15 17:12:44,1800.01,150.049,150,1.16122E+07,6451.17,1.43223E+06,795.681,295,-1443, 
123420,5,MBP+H2O 150 K,22-Jun-15 17:12:47,22-Jun-15 17:43:07,1800.01,150.057,150.001,1.16181E+07,6454.46,1.43552E+06,797.509,295,-1443, 
123421,5,MBP+H2O 150 K,22-Jun-15 17:43:10,22-Jun-15 18:13:30,1800.01,150.067,150.002,1.16206E+07,6455.86,1.43351E+06,796.389,295,-1443, 
123422,5,MBP+H2O 150 K,22-Jun-15 18:13:32,22-Jun-15 18:34:53,1259.84,150.072,150.002,8.13397E+06,6456.35,1.00472E+06,797.494,295,-1443, 
