[File: 123412_123422.hdf],,,,,,,,,,,,,,,,,,,,
 Wavelength [Å], Start time,,,, End time,,,, Duration [sec],, Temperature [K],Regulation Temp. [K], DetSum,, DetRate, MonSum,, MonRate, Elastic peak [ToF], SRot
of incident neutron,Day,Time,,,Day,Time,,,measured,calculated,,,Total num. of neutron,,Neutron rate,Total neutron num. of MONITOR,,Neutron rate of MONITOR,,
,,h,min,sec,,h,min,sec,,,,,measured,calculated,,measured,calculated,,,
COOLING to 150K,,,,,,,,,,,,,,,,,,,,
5,22/06/2015,14,56,57,22/06/2015,15,7,17,600.012,620,149.443,150,3859890,3865701,6433.01,479527,478672,799.196,295,-1443
5,22/06/2015,15,7,19,22/06/2015,15,17,40,600.012,621,149.521,149.999,3866820,3865701,6444.57,478856,478672,798.077,295,-1443
5,22/06/2015,15,17,42,22/06/2015,15,28,2,600.012,620,149.675,150.001,3870250,3865701,6450.29,479494,478672,799.141,295,-1443
5,22/06/2015,15,28,5,22/06/2015,15,38,25,600.012,620,149.804,149.998,3867750,3865701,6446.12,479003,478672,798.323,295,-1443
5,22/06/2015,15,38,27,22/06/2015,15,41,30,162.026,183,149.835,149.998,1043370,1043886,6439.54,128667,129260,794.116,295,-1443
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average,,,,Average,,,Average,,
,,,,,,,,,,,149.66,,,,6443,,,798,,
,,,,,,,,,,,Dev. Stand.,,,,Dev. Stand.,,,Dev. Stand.,,
,,,,,,,,,,,0.17,,,,7,,,2,,
,,,,,,,,,,,Percent. err.,,,,Percent. err.,,,,,
,,,,,,,,,,,0.11,,,,0.10,,,,,
COOLED at ≃ 150 K,,,,,,,,,,,,,,,,,,,,
5,22/06/2015,15,41,38,22/06/2015,16,11,58,1800.01,1820,149.99,149.998,11606800,11616146,6448.17,1434880,1434780,797.152,295,-1443
5,22/06/2015,16,12,1,22/06/2015,16,42,21,1800.01,1820,150.033,150.004,11617700,11616146,6454.26,1437030,1434780,798.347,295,-1443
5,22/06/2015,16,42,24,22/06/2015,17,12,44,1800.01,1820,150.049,150,11612200,11616146,6451.17,1432230,1434780,795.681,295,-1443
5,22/06/2015,17,12,47,22/06/2015,17,43,7,1800.01,1820,150.057,150.001,11618100,11616146,6454.46,1435520,1434780,797.509,295,-1443
5,22/06/2015,17,43,10,22/06/2015,18,13,30,1800.01,1820,150.067,150.002,11620600,11616146,6455.86,1433510,1434780,796.389,295,-1443
5,22/06/2015,18,13,32,22/06/2015,18,34,53,1259.84,1281,150.072,150.002,8133970,8130224,6456.35,1004720,1004213,797.494,295,-1443
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Average,,,,Average,,,Average,,
,,,,,,,,,,,150.04,,,,6453.38,,,797.10,,
,,,,,,,,,,,Dev. Stand.,,,,Dev. Stand.,,,Dev. Stand.,,
,,,,,,,,,,,0.03,,,,3,,,0.9,,
,,,,,,,,,,,Percent. err.,,,,Percent. err.,,,Percent. err.,,
,,,,,,,,,,,0.02,,,,0.05,,,0.12,,
