run_number, wavelength, experiment_identifier, start_time, end_time, duration, temperature, regulation_temperature, detsum, detrate, monsum, monrate, elasticpeak, SRot, 
123400,5,MBP+H2O 297K,22-Jun-15 12:12:21,22-Jun-15 12:42:41,1800.01,296.421,296.999,1.22701E+07,6816.7,1.43123E+06,795.122,295,-1443, 
123401,5,MBP+H2O 297K,22-Jun-15 12:42:45,22-Jun-15 13:13:05,1800.01,296.155,296.998,1.22666E+07,6814.74,1.43116E+06,795.083,295,-1443, 
123411,5,MBP+H2O cooling to 150 K,22-Jun-15 14:46:34,22-Jun-15 14:56:54,600.012,149.847,150.002,3.86419E+06,6440.19,478892,798.137,295,-1443, 
123412,5,MBP+H2O cooling to 150 K,22-Jun-15 14:56:57,22-Jun-15 15:07:17,600.012,149.443,150,3.85989E+06,6433.01,479527,799.196,295,-1443, 
123413,5,MBP+H2O cooling to 150 K,22-Jun-15 15:07:19,22-Jun-15 15:17:40,600.012,149.521,149.999,3.86682E+06,6444.57,478856,798.077,295,-1443, 
123414,5,MBP+H2O cooling to 150 K,22-Jun-15 15:17:42,22-Jun-15 15:28:02,600.012,149.675,150.001,3.87025E+06,6450.29,479494,799.141,295,-1443, 
123415,5,MBP+H2O cooling to 150 K,22-Jun-15 15:28:05,22-Jun-15 15:38:25,600.012,149.804,149.998,3.86775E+06,6446.12,479003,798.323,295,-1443, 
123416,5,MBP+H2O cooling to 150 K,22-Jun-15 15:38:27,22-Jun-15 15:41:30,162.026,149.835,149.998,1.04337E+06,6439.54,128667,794.116,295,-1443, 
123417,5,MBP+H2O 150 K,22-Jun-15 15:41:38,22-Jun-15 16:11:58,1800.01,149.99,149.998,1.16068E+07,6448.17,1.43488E+06,797.152,295,-1443, 
123418,5,MBP+H2O 150 K,22-Jun-15 16:12:01,22-Jun-15 16:42:21,1800.01,150.033,150.004,1.16177E+07,6454.26,1.43703E+06,798.347,295,-1443, 
123419,5,MBP+H2O 150 K,22-Jun-15 16:42:24,22-Jun-15 17:12:44,1800.01,150.049,150,1.16122E+07,6451.17,1.43223E+06,795.681,295,-1443, 
123420,5,MBP+H2O 150 K,22-Jun-15 17:12:47,22-Jun-15 17:43:07,1800.01,150.057,150.001,1.16181E+07,6454.46,1.43552E+06,797.509,295,-1443, 
123421,5,MBP+H2O 150 K,22-Jun-15 17:43:10,22-Jun-15 18:13:30,1800.01,150.067,150.002,1.16206E+07,6455.86,1.43351E+06,796.389,295,-1443, 
123422,5,MBP+H2O 150 K,22-Jun-15 18:13:32,22-Jun-15 18:34:53,1259.84,150.072,150.002,8.13397E+06,6456.35,1.00472E+06,797.494,295,-1443, 
123438,5,MBP+Mal+D2O cooling to 150 K,23-Jun-15 00:32:18,23-Jun-15 00:42:38,600.012,149.581,150.002,1.29001E+06,2149.97,475266,792.094,295,-1443, 
123439,5,MBP+Mal+D2O 150 K,23-Jun-15 00:42:41,23-Jun-15 01:13:01,1800.01,149.766,150,3.87643E+06,2153.56,1.43498E+06,797.209,295,-1443, 
123440,5,MBP+Mal+D2O 150 K,23-Jun-15 01:13:03,23-Jun-15 01:43:24,1800.01,149.98,150.004,3.87588E+06,2153.25,1.43522E+06,797.338,295,-1443, 
123441,5,MBP+Mal+D2O 150 K,23-Jun-15 01:43:26,23-Jun-15 02:13:46,1800.01,150.037,150,3.8775E+06,2154.15,1.43527E+06,797.368,295,-1443, 
123442,5,MBP+Mal+D2O 150 K,23-Jun-15 02:13:49,23-Jun-15 02:44:09,1800.01,150.054,149.996,3.65688E+06,2031.59,1.35543E+06,753.013,295,-1443, 
123443,5,MBP+Mal+D2O 150 K,23-Jun-15 02:44:11,23-Jun-15 03:14:32,1800.01,150.058,149.999,3.87655E+06,2153.63,1.43829E+06,799.045,295,-1443, 
123444,5,MBP+Mal+D2O 150 K,23-Jun-15 03:14:34,23-Jun-15 03:44:54,1800.01,150.066,150,3.87915E+06,2155.07,1.435E+06,797.216,295,-1443, 
123445,5,MBP+Mal+D2O 150 K,23-Jun-15 03:44:57,23-Jun-15 04:15:17,1800.01,150.068,150,3.87645E+06,2153.57,1.43708E+06,798.375,295,-1443, 
123446,5,MBP+Mal+D2O 150 K,23-Jun-15 04:15:19,23-Jun-15 04:45:40,1800.01,150.072,149.997,3.87686E+06,2153.8,1.43867E+06,799.259,295,-1443, 
